Number;Start time in milliseconds;End time in milliseconds;"Text"
1;1790;6410;"Would you allow us to have names?"
2;6410;7980;"What is a name?"
3;8240;12990;"It's like a code that can be 
used to identify each of us."
4;14730;18490;"Names... Quite amusing."
5;20470;23000;"The King's three Royal Guards."
6;23000;26370;"I shall name you myself."
7;108000;113050;"No x Good x NGL"
8;113190;117540;"{\fad(876,1)}Yorknew City"
9;113190;117540;"{\fad(876,1)}Mitene Union"
10;115940;118450;"Seeking the giant Chimera Ant,"
11;117540;121030;"{\fad(1,208)}Mitene Union: 

{\3c&H42C095&}NGL Autonomous Region 
{\3c&H8F5AB8&}Republic of Rokario 
{\3c&H3DBDBF&}Hass Republic 
{\3c&H985E88&}Republic of West Gorteau 
{\3c&H4D95C5&}Republic of East Gorteau"
12;118450;121560;"Kite's group has arrived in the Mitene Union."
13;121030;127960;"{\fad(292,1794)}{\3c&H42C095&}NGL Autonomous Region        {\3c&H8F5AB8&}Republic of Rokario"
14;122050;124790;"Now, they travel from the Republic of Rokario"
15;124790;127560;"to the neighboring NGL Autonomous Region."
16;130820;133040;"NGL, huh?"
17;133040;137440;"They believe living naturally is always better."
18;137860;140620;"They may be weird for living there,"
19;140620;143580;"but you guys are weird for coming to visit, too."
20;144240;146410;"No idea what's going on,"
21;146920;151580;"but I've already driven in about 
ten similar groups today alone."
22;151870;153050;"Ten groups?!"
23;153550;154490;"Yeah."
24;156310;160380;"Then it sounds like we're 
among the last to arrive."
25;163940;166600;"They're probably other pro Hunter teams."
26;166910;169230;"All looking for the giant insects?"
27;169520;172870;"Yeah, those veterans are good."
28;172870;175610;"Somehow, they've managed 
to obtain this information."
29;176130;178610;"But are there really bugs"
30;178610;181880;"large enough to attack humans?"
31;182870;185110;"It defies common sense,"
32;185630;189750;"but that voice they heard over the transmitter..."
33;190170;191970;"M-Monsters..."
34;191970;193720;"Giant bugs!"
35;196480;199010;"It could be some other kind of organism."
36;200400;203140;"NGL is one big nature reserve,"
37;203140;208240;"so it's said to be inhabited by many organisms 
that haven't been reported in academic circles."
38;209650;213320;"It wouldn't be strange if there are 
insects that attack humans."
39;214700;217350;"Even if there aren't any giant bugs,"
40;217350;222030;"this trip will be worth it if we can confirm the 
existence of any unidentified organisms."
41;223120;228410;"As a new Magical Beast Hunter, 
I need to produce results."
42;229180;232580;"Now that I'm here, I have 
to accomplish something."
43;248480;252430;"According to the scouts that 
went out first thing this morning,"
44;253040;256100;"a new human village has been discovered"
45;256100;259320;"in sector MA18, in the southwest."
46;259870;261340;"There are twelve houses,"
47;261340;265320;"with anywhere from twenty to sixty residents."
48;265680;268580;"Hey, that's pretty big."
49;268930;271530;"Guess there are still a few large villages left."
50;271530;275060;"I thought we'd already cleaned out that area."
51;275720;280190;"Then I will add this village to our 
list of targets for the day."
52;280590;282780;"Colt, could you make the trip?"
53;282780;283760;"Roger."
54;284090;285510;"What's this, Peggy?"
55;285510;287300;"You aren't sending me?"
56;287300;292000;"Cheetu, I need you to go northwest, 
as originally planned."
57;292520;293980;"Zazan, you accompany him."
58;294480;298360;"There aren't any large villages 
left in the northwest."
59;298640;302730;"Even if there were, there probably 
aren't any strong, young humans."
60;302730;306110;"It's more fun when I get to chase them around."
61;306110;307110;"Cheetu!"
62;307460;309210;"We do not hunt for amusement."
63;309510;311060;"We serve the Queen."
64;311890;316250;"We need only capture the 
requested number of humans."
65;316560;318350;"I know that, Colt."
66;318350;320220;"We'll get the job done."
67;320490;321630;"Right, Zazan?"
68;321890;324000;"I'll fulfill the quota."
69;324390;327650;"But I don't need you telling 
me how to hunt my prey."
70;328500;330760;"I'll do things my own way."
71;331190;335000;"It's fun to hunt humans when 
they're running around."
72;335000;336140;"What did you say?"
73;336700;339110;"Well, there you go."
74;339470;341020;"Let's go, Zazan."
75;341020;343840;"Colt, don't get too worked up."
76;343840;346400;"You'll have an easier time"
77;346400;348280;"if you learn to relax."
