Number;Start time in milliseconds;End time in milliseconds;"Text"
1;4420;8360;"Fearsome monsters... Exotic creatures..."
2;9360;12610;"Vast riches... Hidden treasures..."
3;14940;18830;"Evil enclaves... Unexplored lands..."
4;20350;23550;"The word "unknown" holds magic."
5;23550;27580;"And some incredible people are 
drawn to that magic."
6;27890;29290;"They are known..."
7;33520;35010;"...as Hunters!"
8;117770;119040;"What's this?"
9;119040;120730;"Something Ging left with me."
10;120730;121770;"Huh?"
11;121770;125060;"He asked me to give this to you 
when you became a Hunter."
12;126830;129020;"My dad left this for me..."
13;129020;134020;"Reply x From x Dad"
14;135520;138530;"The box that had been sealed with <i>Nen</i>"
15;139140;141530;"contained three mysterious items."
16;141530;145930;"One of them, an old cassette tape,"
17;145930;148250;"gave Gon his first chance"
18;148250;150590;"to hear his father's voice."
19;151830;153790;"Yo, Gon..."
20;155050;157700;"So you became a Hunter, too."
21;158370;160550;"This is my dad's voice."
22;161390;164680;"Anyway, I have a question for you."
23;165910;169030;"Do you want to see me?"
24;171880;174820;"If you do, keep on listening."
25;175840;179510;"If you don't, press the stop button."
26;187030;188470;"I'm guessing that's a "yes.""
27;188970;191460;"Then I'll ask you once more."
28;192490;194080;"Are you prepared?"
29;194890;197680;"Hunters are selfish creatures."
30;198510;202470;"They're willing to sacrifice 
anything to get what they want."
31;203870;206290;"If you're only slightly interested in seeing me,"
32;206290;208850;"you should stop the tape now."
33;209410;210900;"I'll give you a minute to consider it."
34;212360;213550;"Well?"
35;226700;228830;"I guess you really do want to see me."
36;229470;231430;"But I don't want to see you."
37;233280;236020;"I don't know how I could face you now."
38;236930;240180;"After all, I chose my own desires"
39;240180;242710;"over my parental duty."
40;243780;244970;"I'm a bad person."
41;249940;254730;"I'm guessing that by the time 
you hear this tape,"
42;254730;258770;"at least ten years will have passed."
43;260650;264850;"But one thing still hasn't changed."
44;269730;272620;"I'm still me."
45;273930;274730;"Bo!"
46;287720;291230;"As you listen to this tape,"
47;291810;293960;"I'm off doing reckless things."
48;295700;297810;"If you want to see me, find me."
49;298480;302510;"But as I said before, I don't want to see you."
50;303090;306320;"If I sense you nearby, 
I'll make myself scarce."
51;307540;308960;"Catch me if you can."
52;309830;311820;"You are a Hunter, aren't you?"
53;319150;322550;"Your dad isn't gonna be easy to track."
54;322550;323920;"Oh, wait..."
55;324920;326870;"Ging's still there."
56;328150;331040;"Oh, I forgot to mention something..."
57;332030;334600;"It's about your mother."
58;336340;338600;"If you want to know more, keep listening."
59;339150;340370;"If you're not interested..."
60;342300;343800;"Are you sure?"
61;343800;344860;"Yeah."
62;344860;348360;"But he might have left you a clue."
63;348580;350170;"I doubt it."
64;350730;352230;"That's what my gut tells me."
65;353150;354370;"Besides, I already told you..."
66;354840;357000;"My mom is Mito-san."
67;358720;359940;"I see."
68;366340;367640;"Are you hungry?"
69;367640;369020;"I'll go grab something."
70;369020;369990;"Yeah."
71;376260;377500;"Hey, Gon!"
72;377500;378640;"The tape started moving"
73;378640;379790;"all by itself!"
74;379790;380600;"What?!"
75;381380;382940;"There's aura around the tape player!"
76;382940;385530;"It's <i>Nen</i>... 
<i>Nen</i> is rewinding the cassette!"
77;385830;387250;"<i>Nen</i>{\fscx30} {\fscx100}?"
78;387250;389030;"Is he nearby?"
79;389030;393120;"No, he infused this player with 
<i>Nen</i> over ten years ago!"
80;393120;395770;"So it would start rewinding, 
once it was stopped!"
81;395770;396870;"Why?"
82;396870;398040;"Beats me."
83;400900;402670;"Now it's recording!"
84;403050;405560;"I get it! He's erasing his message!"
85;405560;406670;"What?"
86;409350;410100;"It's not working!"
87;410100;411530;"I can't stop it..."
88;411530;412620;"Damn!"
89;414620;416180;"It still won't stop!"
90;416180;418030;"I pulled the plug!"
91;418770;420170;"Sorry, Gon."
92;420430;421570;"I'll have to break it!"
93;424540;425850;"Damn!"
94;425850;426900;"No good!"
95;426900;428550;"There's <i>Nen</i> protecting the player!"
96;445490;447330;"It's finished."
