Number;Start time in milliseconds;End time in milliseconds;"Text"
1;4360;10830;"As Gon was dedicating all of his 
power to finishing off Neferpitou,"
2;11450;14950;"Meruem, Pouf, and Youpi were"
3;14950;18050;"inside the west tower, where Komugi had been."
4;42090;43520;"Once we're through here..."
5;54030;55590;"The west tower's second floor."
6;56490;58030;"Once we've passed this area,"
7;59840;61680;"the King will never remember her!"
8;64290;68040;"As long as I don't give him 
an opportunity to see her..."
9;153000;158010;"Flash x And x Start"
10;174580;176540;"Something is missing..."
11;179220;182680;"But what is it?"
12;185270;186400;"I don't know."
13;190690;191990;"I know..."
14;192490;193840;"I won't say anything."
15;194190;199000;"I agree that we shouldn't let the King see her."
16;202090;204990;"Ideally, he should stay as he is now."
17;207370;208850;"I have"
18;209570;212310;"a feeling that something is 
missing from this place."
19;213430;219860;"Though it may just be a side 
effect of my memory loss."
20;222180;223860;"Exactly..."
21;224290;228750;"Your memory can be verified 
through what you see."
22;228750;233620;"Which means you can recover all 
of the memories you need."
23;235540;238630;"I believe the selection was to begin at 12:00."
24;238930;239780;"Yes."
25;240200;243150;"However, that can be moved up."
26;243980;245240;"By 9:00,"
27;245240;249020;"the remaining humans will be gathered 
in the plain before the palace."
28;252320;253310;"What is it?"
29;253800;255790;"I have not used my scales"
30;255790;257890;"on the humans still on their way in."
31;258890;261060;"We don't want them to cause a commotion,"
32;261060;265110;"so I will summon my clones to hypnotize them."
33;265780;267260;"What will you do, Youpi?"
34;269380;270700;"Right..."
35;271560;272910;"I'll look for Pitou."
36;274200;279120;"Right now, I don't have the 
strength to protect you."
37;280000;280860;"Pitou..."
38;284420;286560;"Did you just remember something?"
39;287050;291680;"Oh, yeah... We haven't told 
the King about Pitou yet."
40;292160;296820;"Meruem-sama, do you remember who Pitou is?"
41;297360;298280;"Yes,"
42;298760;301190;"one of my three Royal Guards."
43;302500;304790;"I can recall Pitou's appearance so clearly,"
44;305870;311350;"it seems a mystery that I 
didn't remember it until now."
45;313790;315520;"So words can also trigger his memory,"
46;316060;317980;"not just images..."
47;320140;322190;"We cannot let him hear her name."
48;322190;323510;"We must be very careful..."
49;325940;328780;"The key will be convincing Pitou."
50;331120;332580;"I know..."
51;332950;334330;"Tell Pitou to keep quiet, right?"
52;342030;343230;"There it is again..."
53;346060;348240;"I'm counting on you."
54;350060;351240;"Yes..."
55;352040;353070;"I..."
56;354150;355300;"asked Pitou"
57;356020;358250;"to do something for me."
58;366630;367600;"Youpi."
59;367600;368560;"Yes..."
60;368560;372140;"Bring Pitou to me at once."
61;372140;372980;"Yes."
62;373400;375700;"What will you do, Meruem-sama?"
63;376300;379570;"Enemies are still around."
64;380390;381610;"Indeed..."
65;382470;384900;"As I search for Pitou myself,"
66;386090;387900;"I shall hunt down the remaining intruders."
67;389470;390590;"This is bad!"
68;392610;394450;"Your Majesty, that would be..."
69;396190;397820;"It is merely for entertainment."
70;398930;401860;"And I am sure these enemies 
have useful information."
71;401860;404920;"However, we won't be at your side,"
72;405380;407020;"and we don't know what enemies remain—"
73;413970;415950;"I want an honest answer,"
74;416810;417930;"Pouf."
75;419940;422510;"Do you believe there is a chance"
76;423370;427020;"that these intruders could get the better of me?!"
77;452130;452950;"No..."
78;453690;455720;"Absolutely not."
79;460590;463400;"Th-This exceeds my expectations..."
80;469330;470110;"The King..."
81;470890;472230;"Meruem-sama..."
82;473220;475200;"is the ultimate being."
83;476020;477790;"That much is certain!"
84;485800;488250;"The overwhelming aura"
85;488770;491090;"left Knuckle and the rest, still concealed,"
86;491340;494020;"in total despair."
87;495630;501020;"Th-This isn't something we can deal with..."
88;501820;506940;"To handle this, you'd need an entire 
nation's military might."
89;507550;509610;"Meleoron, we're making a run for it!"
90;509940;511200;"Seriously?"
91;511200;512570;"You bet!"
92;512570;515260;"We'll head back to Peijing under 
the cover of this crowd!"
93;516550;518950;"What about Killua, Ikalgo, and the others?"
94;518950;520560;"There's nothing we can do!"
95;521190;523380;"If they can see that, they'll understand."
96;523380;524860;"They'll run away, too."
97;525540;526770;"That's the only option."
98;527370;528630;"That isn't..."
99;530440;533130;"something we can handle."
100;533890;537010;"But if you and I team up..."
101;538360;540010;"We could land one attack, sure."
102;540410;545140;"And we could probably attach APR."
103;545660;546870;"But..."
104;547740;553530;"APR only adds interest if I'm within fifty meters!"
105;554650;558020;"If we're within fifty meters of him..."
106;558960;563040;"Do you think we'd last long 
enough for him to go bust?"
107;563790;567040;"You'd have to have lungs as strong as the boss's!"
108;567670;569390;"The situation's changed..."
109;569390;574270;"The enemy knows about our powers!"
110;574910;577550;"They can prepare for us."
111;578950;581030;"I was an idiot."
112;581030;585950;"We needed to notify the Association 
right away of the chairman's defeat,"
113;585950;589270;"so they could immediately initiate 
the next plan of action."
114;591060;592000;"Hurry!"
115;595300;597320;"Revenge and duty..."
116;597840;601270;"The difference in motivations 
between Meleoron and Knuckle"
117;601990;604790;"placed growing distance between 
them as they walked."
118;608060;609080;"At that moment..."
119;611470;618040;"Meruem's <i>En</i> lit up the palace and the 
surrounding area in a literal flash."
120;625910;630860;"Sensing there were two enemies nearby, 
he began with Knuckle."
121;635140;637390;"Next was Meleoron, who had barely thought"
122;637390;641550;"that he should activate his power 
when he was knocked out."
123;650920;651880;"Where's the King?"
124;655360;656510;"It disappeared!"
125;662050;664770;"I shall be interrogating them."
126;665570;667520;"Once I am done, do as you like."
127;669770;675250;"There were two other <i>Nen</i> users whose aura"
128;676510;677780;"reacted to my <i>En</i>."
129;682800;687760;"One of them must be carrying 
the unconscious Komugi."
130;689140;691420;"What do I do? What do I do?"
131;696960;699010;"I must stop the King..."
132;699640;700920;"Your Majesty!"
