Number;Start time in milliseconds;End time in milliseconds;"Text"
1;4020;7860;"Fearsome monsters... Exotic creatures..."
2;9020;12110;"Vast riches... Hidden treasures..."
3;14570;18330;"Evil enclaves... Unexplored lands..."
4;20040;23150;"The word "unknown" holds magic."
5;23150;27080;"And some incredible people are 
drawn to that magic."
6;27490;29290;"They are known..."
7;33220;35010;"...as Hunters!"
8;128120;129630;"Sorry about that."
9;129630;131720;"I carelessly let him escape."
10;131720;133570;"Liar."
11;133570;138440;"He probably begged you to grant him"
12;138440;139950;"one final wish, yes?"
13;139950;143080;"Well, I felt sorry for the guy."
14;143080;146020;"Given that he was dead either way."
15;146020;149260;"You should cease pitying enemies 
who serve no purpose."
16;150580;152630;"I have standards."
17;153220;155710;"I'm not interested in people 
who have no purpose."
18;156150;160090;"I only spare those whose deaths 
would go to waste."
19;160090;165100;"Defeat x And x Disgrace"
20;166620;169290;"Hisoka targets Kurapika and Leorio."
21;169750;172320;"Gon targets Hisoka's ID tag."
22;172970;178320;"In the silence of the night, 
something is surely about to happen..."
23;209870;210600;"<i>Now!</i>"
24;218230;221220;"Oh, it's them..."
25;221830;223490;"Amusing."
26;240410;243050;"<i>Hisoka has found his prey.</i>"
27;249270;251390;"<i>Leorio! Kurapika!</i>"
28;254440;258240;"<i>I didn't expect him to go 
after Leorio and Kurapika.</i>"
29;258850;260150;"<i>What should I do?</i>"
30;261240;262120;"<i>Don't stop!</i>"
31;262120;263140;"<i>Stick to the plan,</i>"
32;263140;265030;"<i>and when Hisoka attacks his prey,</i>"
33;265030;266240;"<i>go for the ID tag!</i>"
34;266730;270740;"<i>That's my only chance to take Hisoka's tag!</i>"
35;281050;282550;"<i>No, I can't just ignore them.</i>"
36;283540;286800;"<i>If they start fighting, I'll change plans.</i>"
37;291330;295310;"So I've figured out who my target is,"
38;295900;299800;"but how am I supposed to find her 
on this huge island?"
39;299800;303650;"Isn't walking around aimlessly 
a waste of energy?"
40;303650;307570;"Constantly whining would be 
an even bigger waste of energy."
41;307570;311230;"You already have six points, 
so you're finished."
42;311230;314700;"But if I don't find my target..."
43;319080;320340;"Hey."
44;320340;321130;"<i>Hisoka!</i>"
45;321810;325370;"Imagine meeting you here..."
46;326680;329300;"I keep running into people 
I don't want to encounter."
47;329650;330790;"You see,"
48;330790;333390;"I need two more points."
49;334090;336080;"Could you give me your tags?"
50;336590;337770;"What was that?!"
51;337770;339280;"Screw that! I'm not gonna..."
52;339280;340070;"Leorio!"
53;341150;343500;"You said that you need 
two additional points."
54;343990;347520;"Which implies that we 
are not your targets,"
55;347520;348910;"correct?"
56;348910;351700;"I'm the one who's asking 
the questions here."
