Number;Start time in milliseconds;End time in milliseconds;"Text"
1;3840;5940;"I have to defeat him,"
2;6730;7820;"or it's all over!"
3;10190;14990;"I'll do whatever it takes to protect Gon!"
4;94990;99990;"Friend x And x Journey"
5;102880;104790;"Determined to protect Gon"
6;104790;109430;"for the thirty days he can't use <i>Nen</i>,"
7;109430;112020;"Killua prepares for a fight with a Chimera Ant."
8;112820;113820;"However..."
9;124690;125730;"Run."
10;146810;148680;"Yes! That's more like it!"
11;148680;150520;"That terrified expression..."
12;150520;152360;"I love it!"
13;154850;159050;"Damn, I'm getting excited now..."
14;162940;166310;"I'm gonna tear you apart."
15;167180;170240;"{\fad(1,404)}If you aren't certain you can win, run."
16;171140;173690;"I have to protect him... I have to..."
17;174660;176320;"When you know nothing of your opponent..."
18;177150;178280;"...protect Gon."
19;179310;180550;"...run away."
20;182080;183780;"No matter what!"
21;225600;227240;"Is there something special about that tree?"
22;228370;230430;"Just wait a little longer."
23;275310;277200;"Amazing..."
24;278000;279550;"They're seaside fireflies."
25;280250;282360;"They're only found around brackish water,"
26;282360;284100;"and this is their breeding season."
27;284420;285880;"It's beautiful!"
28;285880;286770;"Isn't it?"
29;307220;309580;"You piss yourself or something?"
30;310010;311070;"Well?!"
31;312040;314330;"Can't even move a muscle?"
32;314330;315980;"Lose your spine?"
33;325350;328190;"Damn, this feels so good..."
34;328190;329620;"Should I kill him?"
35;329620;332710;"Ah, but I want to enjoy this!"
36;344920;345570;"Here."
37;348260;349320;"It's a present."
38;349950;352330;"This is the most beautiful flower in the world."
39;355710;356830;"It is?"
40;358440;360080;"Stay still."
41;386590;390450;"The tree's sap is very similar to 
the pheromones fireflies emit,"
42;390450;392240;"so they tend to gather around branches."
43;395070;396550;"I'm so happy..."
44;400060;401370;"Thank you."
45;402720;403810;"Really?"
46;404340;405650;"I'm glad to hear that."
47;408100;410300;"But I..."
48;410890;414390;"I can't give you what you truly want."
49;416110;417800;"What I truly want?"
50;419380;421020;"Time alone with me."
51;421410;422400;"Eh?"
52;427140;428400;"I..."
53;429200;431410;"I want to become stronger."
54;432030;434380;"Strong enough to defeat the Chimera Ants."
55;435560;439410;"That means I have to train harder."
56;440800;443230;"In two days, Kite's coming back."
57;443230;445590;"But it sounds like he's under enemy control."
58;446130;450220;"To return him to normal, I'll probably 
have to fight whoever is controlling him."
59;455050;458480;"So until Kite is back to normal..."
60;459210;462400;"Or if possible, until the 
Chimera Ants are defeated..."
61;462960;464890;"I want to focus on my training."
62;471670;473530;"Yes... Yes!"
63;476070;478410;"Are you okay with that?"
64;484250;485500;"Huh?"
65;485500;486960;"What was that?"
66;489600;491970;"Damn! I can't get enough!"
67;500340;501270;"Run..."
68;502180;503280;"Hurry."
69;503630;504830;"No..."
70;509730;511110;"Gon!"
71;515290;516370;"I will..."
72;523200;524620;"...protect you."
73;526860;528090;"Because"
74;530370;531980;"we're friends..."
75;538410;541890;"You're my dear friend!"
76;543860;546080;"Stop that..."
77;546080;548230;"Don't look at me like that."
78;551400;554300;"I c-can't stop myself..."
79;554300;555660;"I'll kill you."
80;555660;558280;"I'll kill you! I'll kill you..."
81;559130;560030;"Run."
82;561140;562360;"Shut up!"
83;564020;565290;"Run."
84;566150;567680;"I won't listen to you!"
85;568960;572800;"Run... Run... Run..."
86;572800;574530;"Shut up!"
87;577330;582160;"I'll leave the head, but eat the rest!"
88;583240;584430;"Run."
89;585940;587470;"I don't want"
90;588670;590440;"to lose him!"
91;592130;593360;"Run."
92;594650;595660;"Gon is..."
93;597300;598450;"Run."
94;599970;601200;"...my..."
95;602200;603450;"Run."
96;604330;605530;"...dear..."
97;607250;608500;"Run."
98;612000;613790;"It has to be Killua."
99;615220;619010;"My very dear friend!"
100;629540;630590;"He disappeared?"
101;647420;649040;"He fooled me good."
102;650950;654760;"Illumi must have planted this"
103;658660;660760;"inside my head."
104;661140;663710;"Huh? What are you talking about?"
105;664160;665470;"Have you lost your mind?"
106;666010;668770;"And how did you dodge that?"
107;670870;673270;"Wait, I saw the whole thing."
108;674700;677850;"Right before I reached him,"
109;678320;680700;"he jammed his finger into his own head."
110;681460;683620;"And then he vanished,"
111;684320;685830;"before popping up over there."
112;685830;689440;"Yeah, I feel so much better now."
113;690210;692240;"I'm completely awake now."
114;692240;695040;"Or maybe I should say I'm liberated."
115;695660;698600;"That's all that happened! Nothing more..."
116;701890;704810;"This can't be happening!"
117;704810;708060;"Now I'm the one who's afraid?!"
118;708980;710960;"I have a message for the other Ants."
119;713650;715750;"If you come anywhere near us,"
120;715750;717500;"your lives are over."
121;726830;727990;"That's bull!"
122;730710;731710;"Very well."
123;739530;742100;"Then don't bother."
124;768660;769520;"They're gone."
125;775670;777580;"Their stuff's still here..."
126;778150;779630;"Were other Ants nearby?"
127;785080;786720;"I don't sense any."
128;787310;788140;"That means..."
129;810720;811910;"What are you doing?!"
130;812580;815150;"Eh? Can't you tell?"
131;815150;817150;"I'm punishing him."
132;817150;820420;"Punishing him for toying with my feelings!"
133;821070;822390;"What the hell?"
134;822390;825170;"You're the one who's being unreasonable!"
135;825950;828680;"Well, at least he's okay..."
136;828940;832080;"Leave us alone! 
This is none of your business!"
137;832080;834590;"Right back at you, stupid."
138;834590;836380;"Why don't you make yourself scarce?"
139;843650;847200;"Why are you injured?"
140;847390;848280;"Huh?"
141;848280;851200;"Oh, I was training... Got a problem with it?"
142;851200;853180;"I'll injure you some more!"
143;856890;858010;"Palm..."
144;860760;861670;"Don't bother."
145;862060;865340;"I could dodge your knife in my sleep."
146;867240;870170;"I was so sure he was dead..."
147;881360;882810;"Wait!"
148;882810;884530;"I'll kill you!"
149;891190;892120;"What?"
150;892870;895120;"Catch us if you can, stupid!"
151;897400;900260;"Wait!"
152;903950;905300;"Stop, Killua..."
153;905300;908550;"You're just making her angrier."
154;908550;909410;"Huh?"
155;909410;912090;"If we ditch her here, we'll never see her again."
156;912690;918140;"We just have to call Knuckle and tell 
him we'll meet him somewhere else."
157;918610;920390;"I'm going back."
158;920730;923330;"Do you want to die?"
159;923330;925430;"If you let your guard down,"
160;925430;928420;"thinking she's not much of a fighter, 
she'll stab you in the back!"
161;929640;931780;"She wouldn't do that."
162;931780;932710;"Huh?!"
163;932710;937230;"Bu— Didn't you see her take that knife to me?"
164;937230;939470;"Damn, you're too much!"
165;944370;947060;"They're making a fool of me!"
166;955580;957840;"They think they've escaped me?"
167;957840;959310;"Fools!"
168;959980;962350;"Wherever you run to, I will know!"
169;977740;980990;"Cute, cute mermaid..."
170;980990;984170;"Where is that accursed brat, Killua?"
171;989180;991890;"There he is, the fool!"
172;994010;996180;"The hotel by the station..."
173;997000;998090;"Brat..."
174;998090;999420;"Brat! Brat! Brat!"
175;999420;1001680;"He keeps interfering!"
176;1002740;1006950;"If not for him, everything would be fine."
177;1017550;1021450;"I'll chase him to the end of 
the world and eliminate him!"
178;1021450;1023060;"Make a fool of me, will you?!"
179;1027030;1027840;"Kno—"
180;1027840;1029150;"Knov-sama..."
181;1029540;1031590;"Where did those boys go?"
182;1032410;1034170;"R-Right..."
183;1034170;1037590;"They went to the hotel that 
has a logo with three circles."
184;1040650;1041810;"This is Knov."
185;1041810;1043730;"They're at the Triple Circle Hotel."
186;1044490;1048760;"Yeah, we just got a call from them."
187;1049290;1053240;"Um, I believe you had planned 
to arrive in two days..."
188;1054040;1055890;"No, we're on schedule."
189;1056440;1058990;"We'll use the extra two days 
to observe those boys,"
190;1059410;1062920;"to determine if they're ready to 
see Kite in his current state."
191;1065830;1067580;"But first things first, Palm!"
