Number;Start time in milliseconds;End time in milliseconds;"Text"
1;4020;7860;"Fearsome monsters... Exotic creatures..."
2;9020;12110;"Vast riches... Hidden treasures..."
3;14570;18330;"Evil enclaves... Unexplored lands..."
4;20040;23150;"The word "unknown" holds magic."
5;23150;27080;"And some incredible people are 
drawn to that magic."
6;27490;29290;"They are known..."
7;33220;35010;"...as Hunters!"
8;121060;121930;"<i>Now!</i>"
9;126300;127730;"I did it!"
10;128430;129930;"<i>I figured it out!</i>"
11;129930;133780;"<i>I have to aim for my target as 
he hunts his own prey!</i>"
12;134400;139410;"Explosion x Of x Deception"
13;143010;145120;"Zevil Island, day two."
14;145120;146800;"Gon has learned the technique"
15;146800;150390;"which will enable him to 
capture his target."
16;158320;159040;"Ow!"
17;160310;161800;"My hands are all bloody..."
18;162330;166560;"I've been swinging my fishing 
rod for two straight days."
19;169350;172980;"{\fad(236,1)}<i>But now, I have perfect accuracy,</i>"
20;172980;176530;"<i>catching birds as they swoop 
after their prey.</i>"
21;177540;179600;"<i>If I utilize this technique properly,</i>"
22;179600;181780;"<i>I'll be able to steal Hisoka's tag.</i>"
23;182330;185030;"<i>All that's left is to find Hisoka!</i>"
24;186250;187040;"Ow..."
25;190830;194330;"But how am I supposed to find Hisoka?"
26;195850;199980;"I guess I'll just have to walk around, 
and trust my instincts."
27;202760;203780;"What?"
28;205100;206560;"Why are they gathering around me?"
29;217970;219070;"<i>These butterflies...</i>"
30;220090;223570;"<i>They're attracted to the scent of blood.</i>"
31;234810;235750;"Hisoka,"
32;235750;237470;"have you taken your target's tag?"
33;237470;239590;"No, not yet."
34;240240;243590;"You don't even know who 
your target is, do you?"
35;243590;244690;"No."
36;245450;247100;"Want me to tell you?"
37;247100;250100;"No, it doesn't matter."
38;253480;256110;"I'll just find three others to hunt."
39;267430;271870;"<i>I remember that, back at the tower, 
Hisoka was injured.</i>"
40;272250;276380;"<i>If this works, the butterflies 
might lead me to him.</i>"
41;288620;289390;"Ah..."
42;297240;300320;"It's the guy who was grazed 
by the arrow."
43;306090;308820;"Better luck next year!"
44;353730;355080;"<i>There he is!</i>"
45;367970;369140;"<i>Stay calm...</i>"
46;371540;372850;"<i>Stay calm!</i>"
47;383190;384670;"<i>I just need to wait.</i>"
48;388050;389900;"<i>For Hisoka to make his move.</i>"
49;394920;399120;"Man, where is everyone hiding?"
50;401640;405130;"I haven't seen anyone for 
the past two days."
51;408200;409140;"Who's there?"
52;409140;410970;"Oh, hold on!"
53;411570;413350;"It's just me..."
54;413350;414350;"Tonpa!"
55;414350;415810;"Don't tell me that your target is..."
56;415810;416990;"Hey, wait a second!"
57;416990;418480;"Just calm down."
