Number;Start time in milliseconds;End time in milliseconds;"Text"
1;4120;7960;"Fearsome monsters... Exotic creatures..."
2;9120;12480;"Vast riches... Hidden treasures..."
3;14670;18530;"Evil enclaves... Unexplored lands..."
4;20140;23250;"The word "unknown" holds magic."
5;23250;27080;"And some incredible people are 
drawn to that magic."
6;27790;29290;"They are known..."
7;33420;35010;"...as Hunters!"
8;115620;116260;"I..."
9;116260;118760;"I give!"
10;118760;119640;"Huh?"
11;119640;120510;"What?"
12;120510;121760;"Bastard..."
13;122660;125020;"You just confirmed all my suspicions!"
14;125020;127060;"You're a worthless piece of trash,"
15;127060;130520;"who's only good for sabotaging 
other applicants!"
16;130700;132270;"Exactly."
17;132270;134310;"That's what I do every year."
18;134890;138020;"And I plan to continue the tradition."
19;138750;143030;"I'm not looking to pass the Hunter Exam."
20;143030;148040;"Beware x Of x Prisoners"
21;150370;153610;"The Third Phase of the exam is 
taking place at Trick Tower,"
22;154250;156980;"a prison for long-term prisoners."
23;160490;163210;"Gon and his friends have chosen to partake"
24;163210;166180;"in a five-on-five battle with 
some of the prisoners."
25;166820;170190;"Due to Tonpa's actions, 
they've already suffered one loss."
26;171650;173190;"The next round"
27;173190;175250;"will pit Gon against Sedokan."
28;176540;179790;"What will happen in the upcoming battle?"
29;181740;182790;"Now, then..."
30;182970;186450;"{\fad(254,1)}Sedokan 
149-year sentence, serial bombings"
31;183150;186450;"As you can see, I'm not very strong."
32;186450;188550;"I don't really enjoy fistfights"
33;188550;191140;"or other physical activities, 
such as running and jumping."
34;191140;193550;"I do."
35;193550;196660;"But I'm not too good at using my head."
36;196660;197960;"As I thought."
37;198910;202470;"So I came up with a simple game 
we could both play."
38;202470;203820;"A game?"
39;203820;204710;"Yes."
40;204710;208760;"It doesn't rely on either mental 
or physical activity."
41;208760;209980;"What kind of game?"
42;214890;217640;"We each light a candle at the same time."
43;217640;220540;"The one whose candle goes 
out first is the loser."
44;220540;221490;"What do you think?"
45;221490;223570;"Yeah! That's easy to understand."
46;223570;225100;"Let's go with that."
47;225100;227120;"Okay. In that case..."
48;234800;238880;"...decide which candle you want to use."
49;238880;241010;"Press O for the long one,"
50;241580;244240;"or X for the short one."
51;245810;247890;"This will be determined 
by majority rule."
52;248630;250670;"We have to choose one?"
53;250670;252770;"This is a trap!"
54;253150;255550;"Normally, you'd choose the long one,"
55;255550;259570;"so he must have done something 
to the long one!"
56;259570;262680;"That would be the safe assumption."
57;262680;264420;"But it might be a trick,"
58;264420;266970;"and he's actually tampered 
with the short one."
59;267780;270890;"When you put it like that..."
60;270890;273040;"Yes, there is no end..."
61;273690;275930;"You've got a real dilemma there."
62;275930;277650;"You keep your mouth shut!"
63;277650;278670;"Yeah, yeah."
64;280250;283670;"When presented with a 
clearly uneven choice,"
65;284140;288180;"people become suspicious and 
hesitate before deciding."
66;288180;291680;"Yes, this is a real dilemma."
67;291680;296490;"What's worse, if you make the wrong choice, 
the resulting mental anguish"
68;296490;300870;"would be much greater than if the problem 
had offered two fair options."
69;308080;310510;"Take your time."
70;310510;314960;"This may be a majority decision, 
but you're free to discuss it."
71;315630;319460;"We have plenty of time."
72;319460;320150;"Hmm..."
73;320150;321960;"Hey, which one should I choose?"
74;321960;323650;"Damn..."
75;323650;325470;"Which one should we take?"
76;340110;342610;"Gon, you decide!"
77;343830;346630;"We'll abide by your decision."
78;346630;348340;"Choose the one you think is best."
79;348340;349960;"Are you sure about this?"
80;349960;352870;"He never thinks anything through."
81;352870;355490;"Instead of wasting time fretting 
over what to do,"
82;355490;357990;"let's rely on Gon's instincts."
83;358710;360880;"Instincts, huh..."
84;360880;362660;"I get to choose?"
85;362660;363900;"Okay!"
86;363900;365880;"Then I choose the long one!"
87;367230;369390;"You want the long candle?"
88;369390;373890;"Because a longer candle 
will burn a longer time!"
89;374780;377240;"Er, he's just taking it at face value?"
90;377240;380150;"I knew he wouldn't think this through."
91;380630;382610;"Well, that's that."
92;384560;388390;"It's not like we can figure out 
which one is the trap."
93;393470;394790;"Okay."
94;394790;397490;"You get the long one."
95;397490;399290;"I'll take the short one."
96;406040;408760;"Now, we light our candles together."
97;438040;439040;"Normally,"
98;439680;443040;"how long would it take that 
candle to burn down?"
99;443040;446300;"Five to six hours?"
100;453050;456060;"Whoa... That was close."
101;460060;462560;"A strong wind is coming from below."
102;462560;466620;"That means we should watch our step..."
103;466620;469570;"No time to relax, huh..."
104;482690;485710;"If you don't pay attention, 
your candle will go out."
105;485710;489510;"That's because you're planning 
to do something bad."
106;490360;493470;"Otherwise, your candle would go out first."
107;493470;495090;"I won't do anything."
108;496790;497970;"After all..."
109;497970;499970;"I've already taken steps."
110;509260;510480;"See?"
111;510480;513590;"Hey! Look at Gon's candle!"
112;513590;515840;"The flame suddenly became stronger!"
113;516370;521000;"He must have hidden gunpowder or some other 
highly flammable substance inside,"
114;521490;523910;"to make the candle burn faster!"
115;527320;529430;"H-Hot..."
116;529890;532930;"At this rate, his candle will only last 
another two or three minutes."
117;532930;534010;"Damn!"
118;534010;536480;"Hey! That was dirty!"
119;536480;539260;"I knew you tampered with 
the long candle!"
120;540540;543270;"<i>Heh, you're wrong.</i>"
121;543890;546650;"<i>I had four candles prepared.</i>"
122;546650;549560;"<i>The dilemma you faced was mere</i>"
123;549560;553030;"<i>camouflage for the actual trap.</i>"
124;553660;557780;"<i>You were given the impression that only 
one candle had been interfered with.</i>"
125;558250;561520;"<i>The choices were so uneven, 
you didn't consider</i>"
126;561520;564790;"<i>the possibility that both had been.</i>"
127;566110;571050;"<i>It didn't matter which candle you picked.</i>"
128;572070;575250;"<i>Either way, I would have handed you</i>"
129;575250;577550;"<i>an oil-soaked candle.</i>"
130;586270;589060;"If the fire is stronger,"
131;590510;593190;"then a little breeze won't extinguish it."
132;597360;598610;"He's fast!"
133;605760;607120;"I win!"
134;609590;610880;"Yes!"
135;615160;619890;"Oh, he has a real spring to his step."
136;621150;623960;"And the ability to take advantage 
of a bad situation."
137;623960;626890;"I'm impressed by this boy."
138;630300;632470;"Yay! I won!"
139;632470;634020;"Good job, Gon!"
140;634020;635400;"Now we have a win!"
141;635800;638690;"Once Kurapika and I win, 
we can advance!"
142;640380;642310;"Hmph, you fool."
143;642310;644910;"That's the result of reliance on 
tools and cheap tricks."
144;646900;647910;"Tsk."
145;647910;651990;"If you want to fool someone, 
you have to sacrifice a bit."
146;651990;653420;"Just watch."
147;660530;661780;"All right."
148;661780;663430;"I'll go next."
149;704070;714150;"Hunter Vocabulary"
150;709930;714150;"Lippo"
151;717080;719640;"I'm next!"
152;718670;723160;"{\fad(507,1)}Majitani 
108-year sentence, multiple crimes, including fraud and blackmail"
153;723760;725410;"That's one freaky body..."
154;725930;727410;"And face..."
155;730980;732410;"Look here!"
156;732930;736260;"I've killed nineteen people,"
157;736260;740420;"but it bugs me that nineteen is 
such an uneven number."
158;742770;745930;"I'm so glad I've gotten to 
meet number twenty."
159;749730;752560;"Now we have a serial killer?"
160;752560;756950;"I insist that we put our lives on the line."
161;756950;759570;"I won't accept some half-assed contest."
162;760220;761070;"Blood!"
163;761830;763070;"Entrails!"
164;763790;765570;"Agony!"
165;769390;770250;"<i>Well?</i>"
166;770250;773080;"<i>You must be scared now...</i>"
167;774050;775050;"Very well."
168;775450;776080;"Huh?"
169;776550;778710;"You can decide how we 
settle this contest."
170;778710;780440;"I'll agree to your choice."
171;780440;782190;"O-Oh..."
172;782190;783970;"You've got balls."
173;784690;785420;"<i>Hmph...</i>"
174;785420;788150;"<i>I know you're quaking in your boots.</i>"
175;788150;791720;"<i>How long can you maintain 
the tough guy act?</i>"
176;792490;794530;"In that case, I also propose"
177;794530;797500;"a death match, where we fight until"
178;797500;800820;"one of us surrenders or dies."
179;800820;805640;"However, don't expect me to stop"
180;805640;810200;"when you surrender and 
beg for your life!"
181;813530;814580;"<i>Well?</i>"
182;814580;816740;"<i>Surely you're scared stiff now?</i>"
183;817870;819640;"Very well. I accept."
184;820400;821250;"<i>Huh?</i>"
185;826670;827760;"Let us begin."
186;828970;830630;"<i>Is he an idiot?</i>"
187;830630;832580;"<i>Didn't he hear what I said?</i>"
188;832580;835770;"<i>We're fighting to the death!</i>"
189;836340;839770;"<i>Wait, he should have been scared 
once he saw me!</i>"
190;840170;841580;"Hold on."
191;841580;843280;"I forgot to mention something."
192;843880;846260;"No weapons allowed."
193;846260;848780;"We'll beat each other to death 
with our fists."
194;848780;853750;"After all, while I may be hired as 
an examiner, I'm still a prisoner."
195;853750;857620;"I'm not allowed to carry weapons."
196;858240;859530;"I see."
197;859530;861290;"I understand."
198;864350;866430;"Anything else?"
199;866430;868650;"If not, I'd like to get started."
200;868650;869760;"Huh?"
201;872060;873850;"<i>That little bastard...</i>"
202;873850;876290;"<i>He had a concealed weapon!</i>"
203;876290;878320;"<i>That was close.</i>"
204;878320;881670;"<i>However, it appears that 
he doesn't rely on it.</i>"
205;881670;884560;"<i>He's that confident in his fighting ability?</i>"
206;884560;887530;"<i>No, that doesn't seem to be the case.</i>"
207;889130;891500;"<i>Hmph, maybe he wants to run,</i>"
208;891500;895220;"<i>but he can't in front of his friends.</i>"
209;895850;901460;"<i>Or he's so stupid, he can't even imagine</i>"
210;901460;903080;"<i>how scary I am?</i>"
211;903080;906090;"<i>Yes! That must be it...</i>"
212;908690;910960;"<i>Well, in that case,</i>"
213;910960;914600;"<i>I have a couple of cards up my sleeve 
for dealing with such fools.</i>"
214;925850;927160;"Hey, now."
215;927160;928970;"Is Kurapika gonna be okay?"
216;928970;931610;"This guy looks dangerous."
217;932530;935120;"<i>In what way does he look dangerous?</i>"
218;935800;937320;"<i>As far as I can tell,</i>"
219;937320;941210;"<i>this guy's just a blowhard who 
doesn't have the guts</i>"
220;941210;944130;"<i>to hit anyone, let alone kill anyone.</i>"
221;944660;946400;"You don't need to worry."
222;946400;947130;"Huh?"
223;947640;948720;"Why not?"
224;948720;951960;"Because when I look at him, 
I don't get chills."
225;951960;953140;"What does that mean?"
226;960310;963650;"Time to show you the ace up my sleeve!"
227;965490;966850;"I'll see you dead!"
228;966850;967860;"Here he comes!"
229;980290;981550;"Wow..."
230;981550;983790;"He made a hole in the floor 
with his bare fist!"
231;987500;989260;"<i>That was perfect...</i>"
232;989950;992800;"<i>And I still have one more trick.</i>"
233;1006020;1009860;"A tattoo of a spider with twelve legs..."
234;1009860;1011030;"That's..."
235;1011030;1013530;"Yeah, I recognize it."
236;1014180;1019030;"Anyone aspiring to become 
a Hunter has heard of it."
237;1020750;1024160;"That's the symbol worn by members of 
that notorious band of evil thieves,"
238;1024160;1026940;"the Phantom Troupe!"
239;1029590;1030950;"Really?"
240;1030950;1033510;"Yeah, definitely."
241;1033510;1035050;"They're famous."
242;1035590;1039050;"I heard about them 
straight from Kurapika."
243;1052020;1054070;"<i>Between the steel implanted in my body</i>"
244;1054590;1057520;"<i>that gives my arms 
the strength to shatter rock,</i>"
245;1057520;1059580;"<i>and the Phantom Troupe symbol...</i>"
246;1060230;1062580;"<i>After seeing both,</i>"
247;1062580;1066260;"<i>no one would want to fight me!</i>"
248;1068880;1070580;"What's wrong?"
249;1070580;1072470;"Cat got your tongue?"
250;1075090;1079790;"I'm Majitani, one of the 
Phantom Troupe's four kings!"
251;1079790;1082100;"Consider that first strike 
my way of saying hello."
252;1083410;1085840;"This is your last chance to surrender."
253;1085840;1088070;"I'm still willing to..."
254;1089710;1090520;"Huh?"
255;1100480;1104540;"Wh-What's wrong with you?"
256;1105290;1106040;"<i>Huh?</i>"
257;1107040;1108500;"<i>Wh-What?</i>"
258;1116320;1118010;"O-O-Okay..."
259;1118010;1120750;"Wait! I get it!"
260;1120750;1122750;"I surrender!"
261;1146360;1147960;"Consider this a warning..."
262;1148480;1149970;"First,"
263;1149970;1155560;"a real Phantom Troupe tattoo has the 
member's number on the spider."
264;1157070;1158520;"Second,"
265;1158520;1163550;"they don't bother counting 
how many they've killed."
266;1164590;1166030;"Third,"
267;1166030;1169030;"never mention the Troupe again."
268;1170890;1172340;"If you do,"
269;1172970;1175420;"I'll kill you."
270;1186850;1188520;"Wow..."
271;1189400;1191250;"Kurapika..."
272;1192040;1194990;"Well, saw that coming 
from a mile away."
273;1196210;1197250;"Yup..."
274;1209490;1211930;"You okay, Kurapika?"
275;1211930;1214690;"Yeah, I'm not injured."
276;1214690;1216130;"Also,"
277;1216130;1218490;"is it safe for us to be near you?"
278;1220410;1225780;"From the moment I saw him, 
I knew he was weak."
279;1226370;1231260;"And mentally, I knew that 
tattoo was a fake."
280;1231260;1234150;"But as soon as I saw that spider,"
281;1234150;1236790;"everything in my sight turned red..."
282;1237920;1239960;"Well, I can't really blame you."
283;1239960;1241890;"Actually, to tell the truth..."
284;1241890;1242800;"Hmm?"
285;1243410;1246040;"Even when I see a real spider,"
286;1246040;1248810;"my personality changes, 
and I enter a frenzy."
287;1251050;1253810;"You should have told us sooner..."
288;1255440;1257130;"But this means that"
289;1257130;1261290;"the rage in me remains 
as strong as ever."
290;1261290;1263780;"I suppose I should be happy."
291;1264690;1268060;"We should keep Kurapika 
away from spiders."
292;1268060;1269220;"Definitely."
293;1271010;1272790;"Damn you, Majitani..."
294;1272790;1275580;"You were completely worthless."
295;1275580;1279500;"His facial scars were from a botched 
plastic surgery operation."
296;1279500;1281590;"That's one hell of a fraud."
297;1281590;1284440;"Hey, you understand, right?"
298;1284440;1286760;"After two losses, our backs 
are against the wall."
299;1286760;1288100;"Let me handle it."
300;1288990;1290920;"I have a good idea."
301;1295640;1299610;"Okay! I'll secure our victory!"
302;1302330;1304610;"Kurapika has defeated Majitani."
303;1305270;1309200;"Another win, and they 
will clear this trial."
304;1311530;1315170;"How will Leorio handle"
305;1315170;1317670;"the next challenge?"
306;1407320;1409780;"Next time: Trick x To The x Trick!"
307;1409780;1412680;"The trick to the trick is to trick... 
I can't say it."
308;1412680;1414050;"Don't just give up."
