Number;Start time in milliseconds;End time in milliseconds;"Text"
1;4120;7960;"Fearsome monsters... Exotic creatures..."
2;9120;12480;"Vast riches... Hidden treasures..."
3;14670;18530;"Evil enclaves... Unexplored lands..."
4;20140;23250;"The word "unknown" holds magic."
5;23250;27080;"And some incredible people are 
drawn to that magic."
6;27790;29590;"They are known..."
7;33160;35010;"...as Hunters!"
8;116420;120170;"The Hunter Exam will now begin!"
9;120170;124130;"I am Satotz, the Phase One examiner."
10;124470;128290;"You must follow me to Phase Two."
11;128290;132560;"This is the exam's First Phase."
12;132560;137570;"Hope x And x Ambition"
13;141070;143310;"Two hours have passed since 
the start of the exam."
14;143310;145330;"The applicants have traveled"
15;145330;148000;"over thirty kilometers from the start."
16;148750;151420;"None of them knows how far they must go."
17;151420;155000;"They are forced to run at the leader's pace, 
with no goal specified."
18;155850;158270;"It's a monotonous course with no end in sight."
19;158820;162440;"And many applicants have 
already dropped out."
20;170900;173750;"<i>Extrapolating from historical data, 
this exam type usually</i>"
21;173750;176150;"<i>involves a forty-kilometer course.</i>"
22;176550;177980;"<i>My calculations suggest that</i>"
23;177980;181160;"<i>we are nearing the goal...</i>"
24;190470;193190;"<i>I underestimated the Hunter Exam.</i>"
25;193190;195460;"<i>Every person here is a monster.</i>"
26;195460;197650;"<i>It's a gathering of monsters...</i>"
27;200170;201890;"Hey! Wait up, kid!"
28;201890;202590;"Hmm?"
29;202590;205000;"You should show the 
Hunter Exam some respect!"
30;205000;206070;"What do you mean?"
31;206070;207890;"Why are you using a skateboard?"
32;207890;209430;"That's cheating!"
33;209940;210710;"Why?"
34;210710;211650;"Why..."
35;211650;213800;"This is an endurance test!"
36;213800;214810;"No, it isn't."
37;214810;215940;"Huh?"
38;217270;219190;"Gon, what are you saying?"
39;219600;222450;"The examiner only told us to follow him."
40;222450;225040;"Whose side are you on, eh?"
41;226880;228740;"Hey, how old are you?"
42;228740;229830;"I'm twelve years old."
43;229830;231300;"Hmm..."
44;231300;232830;"<i>We're the same age.</i>"
45;232830;233830;"Huh?"
46;237070;238770;"Guess I'll run too."
47;238770;240020;"Wow!"
48;240020;241550;"That was cool!"
49;241930;243050;"I'm Killua."
50;243050;244550;"I'm Gon."
51;245940;247950;"<i>Damn it...</i>"
52;247950;250430;"<i>Making a fool out of me...</i>"
53;256710;257770;"<i>Impossible.</i>"
54;257770;259860;"<i>It's impossible!</i>"
55;259860;262080;"<i>My calculations are never wrong!</i>"
56;262660;264150;"<i>So why...</i>"
57;265130;268340;"<i>Am I... going to fail?</i>"
58;268830;271060;"<i>For me to fail...</i>"
59;271060;272020;"<i>That's absurd.</i>"
60;272020;273080;"<i>Unthinkable!</i>"
61;273080;275580;"I won't accept that!"
62;289100;290300;"Hey, rookie!"
63;292580;294620;"You're a mess."
64;294620;297860;"It's rare to see someone 
out of steam so early."
65;297860;301480;"You must be a hell of an incompetent."
66;301480;305530;"People like you are doomed 
to fail the Hunter Exam."
67;305530;307840;"So don't come back, snotrag!"
68;314870;317310;"Here. Thanks."
69;317730;318830;"Great work."
70;319460;322830;"He won't recover from the abuse 
we just dished out."
71;323330;326560;"I doubt he'll ever take the 
Hunter Exam again."
72;326560;328470;"Anyway, Tonpa..."
73;328470;331540;"You really do love crushing rookies."
74;333190;335590;"I live for it."
75;350070;353030;"<i>It's been about four hours since the exam began.</i>"
76;353030;355950;"<i>We must have traveled at least sixty kilometers.</i>"
77;356560;359130;"<i>How much farther do we need to go?</i>"
78;368610;373760;"<i>Only one rookie, every three years, 
passes the Hunter Exam.</i>"
79;375410;377740;"<i>So for a normal human like me,</i>"
80;377740;380900;"<i>it isn't even worth dreaming about...</i>"
81;381880;383730;"<i>Damn it.</i>"
82;409270;410880;"Hey, forget him."
83;410880;411890;"Let's get going."
84;432050;433870;"Screw that..."
85;434910;438870;"I'm gonna become a Hunter!"
86;439500;443210;"Damn it all!"
87;454900;456310;"Cool!"
88;457360;459190;"Let me try that later."
89;459190;461300;"If you let me try your skateboard, okay?"
90;471990;474450;"<i>We've reached the eighty-kilometer mark.</i>"
91;474850;478200;"<i>It is now time to pick up the pace a bit.</i>"
92;483210;484940;"Wait, are you serious?"
93;484940;486290;"That guy's insane."
94;486290;490460;"He's prancing up the stairs, 
as if they're not even there."
95;490460;492080;"If he keeps up this pace,"
96;492080;494200;"tons of people will fail."
97;494970;498970;"Gon, wanna race to see who finishes first?"
98;498970;500040;"Sure."
99;500040;502130;"The loser has to buy dinner."
100;502130;503600;"Okay, you're on!"
101;503980;505120;"Ready..."
102;505120;505980;"Go!"
103;512190;514150;"Leorio, are you okay?"
104;514150;515070;"Sure!"
105;515070;516600;"Just look at me."
106;517070;519410;"I realized that I can keep going"
107;519410;521500;"if I don't worry about how stupid I look!"
108;524450;527000;"<i>I should probably follow his example.</i>"
109;532380;533380;"Leorio..."
110;533380;534720;"I have a question."
111;535100;536180;"What?"
112;536180;538120;"Is this too easy for you, Kurapika?"
113;538820;541720;"Talking just wastes energy!"
114;542140;545730;"Are you really trying to become 
a Hunter for the money?"
115;547060;548400;"You aren't, right?"
116;548400;550390;"We've only been together for a few days,"
117;550390;552140;"but I know you better than that."
118;553690;557490;"Sure, you have a nasty attitude, 
and you aren't very bright."
119;558990;562240;"But you're not a shallow person."
120;562800;566360;"I've seen many who live for money."
121;566360;568330;"You're nothing like them."
122;569430;571250;"You and your logic..."
123;577300;578010;"Scarlet eyes."
124;579220;582260;"That's why the Kurta were targeted."
125;585730;590150;"We Kurta are known for 
our unique scarlet eyes."
126;590150;592630;"When our emotions are heightened,"
127;592630;595980;"our eyes turn scarlet, as though on fire."
128;597910;600120;"The eyes in that scarlet state"
129;600120;603530;"are considered one of the seven most 
beautiful colors in the world."
130;603530;606520;"They command high prices 
on the black market."
131;607700;611300;"That's why the Phantom Troupe 
attacked you?"
132;613020;618250;"They took every single eye from 
my brethren's corpses."
133;619420;624140;"I can still hear their darkened eyes 
crying out in anguish..."
134;626610;629880;"I swear I will capture the Phantom Troupe!"
135;630430;634570;"And I will reclaim the eyes of my clan!"
136;635230;637280;"That's why you want to be a Hunter?"
137;637280;640880;"Yeah, if I become a Hunter with rich clients,"
138;640880;644540;"I'll gain access to black market information."
139;644540;647380;"But you'll have to swallow your pride"
140;647380;650460;"and become the kind of Hunter you despise!"
141;650840;653060;"The blow to my pride is nothing,"
142;653060;655960;"measured against the suffering 
my clan endured."
143;662210;665930;"Sorry, but I have no noble cause."
144;666350;667210;"Huh?"
145;667210;669760;"I'm just after money."
146;669760;671230;"Don't lie!"
147;671230;672490;"I'm not lying!"
148;672490;677360;"You really believe you can buy 
everything with money?"
149;677360;678760;"You bet!"
150;678760;681950;"For the right price, you can buy not only 
treasures, but dreams, hearts,"
151;681950;683530;"and even people's lives!"
152;684530;686520;"Take that back, Leorio!"
153;686520;689120;"If you're insulting the Kurta, 
I won't forgive you."
154;689120;691670;"Why? I'm telling the truth."
155;691670;694340;"If I'd had money, my friend 
wouldn't have died!"
156;702070;703270;"An illness?"
157;703760;706890;"It was a treatable disease..."
158;726410;728910;"The problem was that the 
operation costs a fortune."
159;729580;731580;"I was naïve!"
160;731580;732920;"I thought I could become a doctor..."
161;733780;736110;"I wanted to cure kids who have 
the same disease,"
162;736110;738420;"and be able to tell them 
it was free of charge!"
163;739150;741250;"Then I could have told his parents, too."
164;741250;742790;"That was my dream..."
165;745840;747590;"What a joke."
166;748270;750230;"Turns out that to become a doctor,"
167;750230;752810;"you need even more money!"
168;753230;754330;"Got it?"
169;754330;755840;"The world runs on money..."
170;755840;758320;"So I want money!"
171;762320;764020;"See you at the goal, Kurapika."
172;764020;765730;"Catch you later, old timer."
173;765730;767140;"I'm not old!"
174;767140;769580;"I'm a teenager, just like you guys!"
175;771400;772120;"Huh?"
176;772120;773180;"No way!"
177;775040;785130;"Hunter Vocabulary"
178;781090;785130;"Killua"
179;790390;793180;"Can't take another step..."
180;793740;795750;"Th-This is it..."
181;801650;805060;"I'm impressed that you 
can keep up with me."
182;805060;805880;"Really?"
183;808040;810910;"Or maybe it's just that 
everyone else is too slow."
184;811780;813200;"Man..."
185;813200;815930;"The Hunter Exam is gonna be a breeze."
186;815930;817030;"That's no fun."
187;817030;819670;"Hey, why do you want to 
become a Hunter?"
188;820330;821430;"Me?"
189;821430;823490;"I'm not really interested in 
becoming a Hunter."
190;823490;823920;"Huh?"
191;824600;827170;"I heard the exam was supposed 
to be really hard,"
192;827170;829340;"so I thought it'd be fun."
193;829810;831430;"But this is disappointing."
194;832960;833990;"What about you?"
195;833990;837210;"Well, my dad's a Hunter."
196;837210;840910;"So I want to become a Hunter, like my dad."
197;840910;842060;"Hmm..."
198;842060;843680;"What kind of Hunter is he?"
199;843680;844890;"I don't know."
200;846690;848650;"That's kinda weird."
201;848650;849590;"Really?"
202;849590;851280;"You want to be like your dad,"
203;851280;853910;"but you don't know anything about him?"
204;854410;857750;"I was raised by Mito-san,"
205;857750;860160;"so I've only seen my dad in pictures."
206;860160;862020;"Who's Mito-san?"
207;862020;862920;"Aunt Mito."
208;863470;864170;"Oh..."
209;864490;868190;"When he was twelve, 
my dad took the Hunter Exam."
210;868890;871180;"He passed and became a Hunter."
211;871180;872890;"Then he left the island."
212;873880;876290;"I want to find out why he 
chose to be a Hunter"
213;876290;877940;"over being with me."
214;881260;882530;"The exit!"
215;882530;883810;"Whew..."
216;883810;886190;"Finally, I can get out of this dark tunnel!"
217;891610;895700;"<i>Now, let's see how many made it this far.</i>"
218;900280;902920;"Goal!"
219;906210;908190;"Yay! I win."
220;908190;909320;"What are you talking about?"
221;909320;911020;"I was faster..."
222;911020;912120;"I was."
223;912120;913240;"No, I was!"
224;913240;915930;"I was faster, so you have to buy dinner!"
225;915930;917000;"Nope!"
226;917000;918270;"I was faster."
227;918270;919710;"So you buy me dinner."
228;919710;921900;"But I was faster."
229;922330;924590;"Hey, who was faster?"
230;924590;927210;"I believe that you crossed the 
finish line simultaneously."
231;927660;929220;"Oh..."
232;929220;931860;"Then I'll buy you dinner."
233;931860;932420;"Huh?"
234;932420;935130;"Then you buy me dinner!"
235;935130;936410;"I don't get it."
236;937420;939240;"Hey, Satotz-san."
237;939240;940790;"Is this where the Second Phase 
of the exam takes place?"
238;941290;944130;"No, we still have quite a way to go."
239;944130;945790;"Oh..."
240;967170;968570;"Hey, Kurapika!"
241;970110;971590;"Is this our destination?"
242;971590;973030;"No, it isn't."
243;973030;974060;"I see."
244;975000;976350;"The fog is fading."
245;977190;978080;"Really?"
246;997380;998810;"The Numere Wetlands,"
247;998810;1001230;"also known as Swindlers Swamp."
248;1001230;1005190;"We must cross these wetlands to 
reach Phase Two of the exam."
249;1005190;1008150;"This place is home to many bizarre animals,"
250;1008610;1012680;"many of them being cunning, insatiable creatures"
251;1012680;1015360;"who deceive humans and prey upon them."
252;1016350;1018870;"Be very careful."
253;1021490;1023790;"If you let them fool you..."
254;1023790;1025120;"...you're dead."
255;1031530;1032480;"Wait for me!"
256;1038240;1040150;"These wetland creatures will use"
257;1040150;1044540;"every trick in the book to fool their prey."
258;1045660;1049820;"An ecosystem in which creatures 
obtain food through deceit..."
259;1051210;1053950;"Hence the name Swindlers Swamp."
260;1055320;1059990;"Stay very close to me so you won't be deceived."
261;1063460;1065190;"What a joke."
262;1065190;1068600;"How can they fool us, 
when we're expecting it?"
263;1068600;1069750;"Don't let them fool you!"
264;1070770;1072500;"I just said that they can't."
265;1074360;1077260;"D-Don't fall for it..."
266;1078830;1082010;"He's lying to you!"
267;1085370;1087020;"He's an impostor!"
268;1087020;1088720;"He isn't an examiner..."
269;1088720;1090270;"I'm the real examiner."
270;1091270;1092570;"An impostor?"
271;1092570;1093530;"What's going on?"
272;1093530;1096030;"Then who is he?"
273;1097030;1099220;"Look at this..."
274;1103830;1105410;"He looks just like Satotz-san!"
275;1105410;1108920;"It's a Man-Faced Ape, one of the creatures 
that dwell in the Numere Wetlands!"
276;1108920;1110420;"A Man-Faced Ape?"
277;1111050;1113920;"Man-Faced Apes love the taste 
of fresh human flesh."
278;1114580;1118990;"However, their limbs are long and thin, 
so they're quite weak."
279;1118990;1121220;"That's why they disguise themselves as humans."
280;1121220;1124600;"They trick humans into following them 
into these wetlands,"
281;1124600;1127510;"where they team up with other animals 
to kill and devour them."
282;1128080;1133020;"He intends to trap every single applicant!"
283;1135030;1136530;"Bastard..."
284;1136760;1141530;"He certainly doesn't walk like a human..."
285;1144830;1145580;"Huh?"
286;1160000;1162350;"I see, I see..."
287;1162920;1164810;"That settles it..."
288;1164810;1166720;"You're the real one."
289;1172310;1175570;"<i>What? He's the real examiner?</i>"
290;1176820;1177570;"Huh?"
291;1180070;1182430;"Examiners are Hunters"
292;1182430;1187080;"selected by the committee to perform 
this duty without pay."
293;1187590;1191080;"Any Hunter, bearing the title we seek,"
294;1191360;1195340;"would have been able to block that attack."
295;1195870;1198380;"I shall take that as a compliment."
296;1199270;1204120;"However, should you attack me again, 
for any reason,"
297;1204120;1206760;"I will report you for turning 
on an examiner."
298;1206760;1209360;"And you will be immediately disqualified."
299;1209360;1210230;"Are we clear?"
300;1210590;1211680;"Sure."
301;1217560;1221170;"Nature really can be brutal to watch..."
302;1221170;1223490;"So he was a Man-Faced Ape, as well."
303;1223490;1227800;"He was attempting to confuse 
the applicants,"
304;1227800;1230000;"to lure some of them away."
305;1231330;1233100;"We cannot relax our guard."
306;1233100;1233870;"Yeah."
307;1234290;1238880;"You will be encountering such 
deception on a regular basis."
308;1240770;1243280;"I believe that a number of you"
309;1243280;1245890;"were fooled into suspecting my identity?"
310;1249990;1251750;"Do you understand?"
311;1251750;1257860;"If you lose sight of me in 
the Numere Wetlands fog,"
312;1257860;1262140;"you will never reach the exam's Second Phase."
313;1262140;1263150;"Do bear that in mind."
314;1264440;1266000;"Then let us be on our way."
315;1266000;1267160;"Please follow me."
316;1289210;1291530;"Tsk, another marathon."
317;1291530;1293870;"And we're running through marsh this time."
318;1293870;1296850;"Running on wet ground requires more energy."
319;1297990;1302610;"The applicants have finally escaped 
the long, dark tunnel."
320;1302610;1306520;"Thus far, 36 candidates have 
withdrawn from the exam,"
321;1306520;1309380;"leaving 368 remaining applicants."
322;1309380;1312680;"Their next challenge is the Numere Wetlands,"
323;1312680;1315660;"also known as Swindlers Swamp."
324;1316200;1319710;"The brutal Hunter Exam continues."
325;1410050;1412390;"Next time: Hisoka x Is x Sneaky!"
326;1412560;1414040;"Okey-dokey!"
